feature,filter_sign_consistent_k,filter_n_folds,filter_sign_cons_rate,ridge_sign_consistent_k,ridge_n_folds,ridge_sign_cons_rate,filter_binom_pvalue,ridge_binom_pvalue,ridge_stabilises
cloudiness,9,10,0.9,6,10,0.6,0.0107,0.377,False
cos1_ann,10,10,1.0,10,10,1.0,0.001,0.001,False
cos2_ann,9,10,0.9,10,10,1.0,0.0107,0.001,False
day_of_week,10,10,1.0,10,10,1.0,0.001,0.001,False
gdp_mln_eur,9,10,0.9,10,10,1.0,0.0107,0.001,False
global_rad,10,10,1.0,7,10,0.7,0.001,0.1719,False
humidity_pct,10,10,1.0,9,10,0.9,0.001,0.0107,False
is_holiday,10,10,1.0,10,10,1.0,0.001,0.001,False
is_weekend,10,10,1.0,10,10,1.0,0.001,0.001,False
month,9,10,0.9,10,10,1.0,0.0107,0.001,False
nao,7,10,0.7,0,10,0.0,0.1719,1.0,False
precip_mm,10,10,1.0,9,10,0.9,0.001,0.0107,False
pressure_hpa,9,10,0.9,9,10,0.9,0.0107,0.0107,False
price_eur_kwh,8,10,0.8,8,10,0.8,0.0547,0.0547,False
sin1_ann,0,10,0.0,8,10,0.8,1.0,0.0547,False
sin2_ann,6,10,0.6,0,10,0.0,0.377,1.0,False
solar_energy_gwh,9,10,0.9,10,10,1.0,0.0107,0.001,False
temp_c,8,10,0.8,10,10,1.0,0.0547,0.001,True
wind_energy_gwh,10,10,1.0,9,10,0.9,0.001,0.0107,False
wind_ms,6,10,0.6,6,10,0.6,0.377,0.377,False
