model,horizon_days,mape_pct,nrmse_pct,n_eval_points
SARIMAX-0 (OLS-All),1,2.5252,8.0166,50
SARIMAX-0 (OLS-All),3,3.3478,10.36,50
SARIMAX-0 (OLS-All),7,4.3505,13.5918,50
SARIMAX-0 (OLS-All),30,4.9182,13.4894,50
SARIMAX-0 (OLS-All),90,5.5018,15.1647,50
SARIMAX-0 (OLS-All),180,5.2441,15.3099,50
SARIMAX-1 (Filter),1,2.5172,8.0357,50
SARIMAX-1 (Filter),3,3.4366,10.4056,50
SARIMAX-1 (Filter),7,4.49,13.6919,50
SARIMAX-1 (Filter),30,4.6912,12.8186,50
SARIMAX-1 (Filter),90,5.0501,14.1351,50
SARIMAX-1 (Filter),180,4.8111,13.7952,50
SARIMAX-2 (PCA),1,2.6929,8.73,50
SARIMAX-2 (PCA),3,3.9456,12.2804,50
SARIMAX-2 (PCA),7,4.4192,13.4542,50
SARIMAX-2 (PCA),30,4.5323,12.0121,50
SARIMAX-2 (PCA),90,4.9944,13.393,50
SARIMAX-2 (PCA),180,4.4581,12.5704,50
SARIMAX-3 (Ridge),1,2.4354,7.7878,50
SARIMAX-3 (Ridge),3,3.3308,10.2903,50
SARIMAX-3 (Ridge),7,4.2766,13.2742,50
SARIMAX-3 (Ridge),30,4.8032,13.1145,50
SARIMAX-3 (Ridge),90,5.3566,14.811,50
SARIMAX-3 (Ridge),180,5.1125,14.813,50
SARIMAX-4 (Lasso (l1=1.0)),1,2.5217,8.0504,50
SARIMAX-4 (Lasso (l1=1.0)),3,3.4084,10.5439,50
SARIMAX-4 (Lasso (l1=1.0)),7,4.2131,13.3419,50
SARIMAX-4 (Lasso (l1=1.0)),30,4.8397,13.316,50
SARIMAX-4 (Lasso (l1=1.0)),90,5.4623,15.1035,50
SARIMAX-4 (Lasso (l1=1.0)),180,5.2576,15.369,50
