,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
temp_c,0.281,-0.01,-0.397,-0.287,-0.174,0.137,0.507,0.004,-0.407
wind_ms,-0.152,0.057,-0.329,0.607,-0.238,-0.323,-0.054,0.358,-0.136
precip_mm,-0.196,0.051,-0.438,-0.009,-0.143,0.713,-0.312,0.298,0.075
sunshine_h,0.468,-0.088,0.023,0.124,-0.08,0.119,-0.215,-0.135,-0.044
global_rad,0.472,-0.093,-0.17,-0.031,-0.008,0.082,0.095,-0.019,-0.032
pressure_hpa,0.194,-0.026,0.526,-0.168,-0.034,0.086,0.036,0.792,-0.125
humidity_pct,-0.403,0.027,0.145,-0.347,0.049,0.233,-0.072,-0.152,-0.044
cloudiness,-0.352,0.168,-0.206,-0.204,0.141,-0.202,0.462,0.216,-0.001
nao,-0.066,0.159,0.345,0.387,-0.426,0.375,0.531,-0.168,0.256
price_eur_kwh,-0.008,-0.144,0.026,0.421,0.777,0.315,0.221,0.025,-0.181
gdp_mln_eur,0.115,0.518,0.011,0.002,0.158,0.044,-0.039,-0.05,-0.092
population,0.124,0.526,-0.006,-0.038,0.054,0.004,-0.047,-0.028,-0.035
wind_energy_gwh,-0.046,0.474,0.157,0.103,-0.052,0.026,-0.176,-0.101,-0.514
solar_energy_gwh,0.242,0.362,-0.167,-0.057,0.218,-0.054,0.04,0.16,0.646
